model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Naive Bayes,a2e0486,0.4345679012345679,0.09486166007905138,0.05240174672489083,0.5,0.5053040244969379,0.8818897637795275,0.125,12,217,164,12,12,12,217,405,24
Linear Classifier (Logistic Regression),b2c53ee,0.6509186351706037,0.15286624203821655,0.16,0.14634146341463414,0.44220572640509015,0.9498327759197325,0.04878048780487805,12,63,236,70,12,70,63,381,82
Nearest Neighbors,b2c53ee,0.7322834645669292,0.03773584905660377,0.08333333333333333,0.024390243902439025,0.46698344073741743,0.822742474916388,0.04878048780487805,2,22,277,80,2,80,22,381,82
Linear SVM,b2c53ee,0.7611548556430446,0.08080808080808081,0.23529411764705882,0.04878048780487805,0.4783424422872991,0.9230769230769231,0.08536585365853659,4,13,286,78,4,78,13,381,82
RBF SVM,b2c53ee,0.7165354330708661,0.34146341463414637,0.34146341463414637,0.34146341463414637,0.5670935639122278,0.9464882943143813,0.23170731707317074,28,54,245,54,28,54,54,381,82
Decision Tree,b2c53ee,0.7139107611548556,0.16793893129770993,0.22448979591836735,0.13414634146341464,0.4676972020556326,0.9230769230769231,0.0975609756097561,11,38,261,71,11,71,38,381,82
Random Forest,b2c53ee,0.7769028871391076,0.0449438202247191,0.2857142857142857,0.024390243902439025,0.4923729504853577,0.9297658862876255,0.17073170731707318,2,5,294,80,2,80,5,381,82
AdaBoost,b2c53ee,0.7217847769028871,0.14516129032258066,0.21428571428571427,0.10975609756097561,0.48350191695896894,0.8729096989966555,0.10975609756097561,9,33,266,73,9,73,33,381,82
Naive Bayes,b2c53ee,0.7112860892388452,0.3373493975903614,0.3333333333333333,0.34146341463414637,0.5799004812790602,0.8996655518394648,0.2073170731707317,28,56,243,54,28,54,56,381,82
Linear Classifier (Logistic Regression),33fe84e,0.5880893300248139,0.023529411764705882,0.0125,0.2,0.37659033078880405,0.9516539440203562,0.0,2,158,235,8,2,8,158,403,10
Nearest Neighbors,33fe84e,0.9751861042183623,0.0,0.0,0.0,0.49363867684478374,0.8040712468193384,0.0,0,0,393,10,0,10,0,403,10
Linear SVM,33fe84e,0.5136476426799007,0.0392156862745098,0.020618556701030927,0.4,0.5867684478371501,0.8396946564885496,0.2,4,190,203,6,4,6,190,403,10
RBF SVM,33fe84e,0.8808933002481389,0.04,0.025,0.1,0.4895674300254453,0.8931297709923665,0.0,1,39,354,9,1,9,39,403,10
Decision Tree,33fe84e,0.8784119106699751,0.0392156862745098,0.024390243902439025,0.1,0.49910941475826975,0.9491094147582697,0.1,1,40,353,9,1,9,40,403,10
Random Forest,33fe84e,0.9751861042183623,0.0,0.0,0.0,0.517557251908397,0.8498727735368957,0.0,0,0,393,10,0,10,0,403,10
AdaBoost,33fe84e,0.9751861042183623,0.0,0.0,0.0,0.3932569974554707,0.8931297709923665,0.0,0,0,393,10,0,10,0,403,10
Naive Bayes,33fe84e,0.24069478908188585,0.03773584905660377,0.01948051948051948,0.6,0.3685750636132315,0.9465648854961832,0.0,6,302,91,4,6,4,302,403,10
Linear Classifier (Logistic Regression),24a22bf,0.8094059405940595,0.04938271604938271,0.037037037037037035,0.07407407407407407,0.33072993417821006,0.9893899204244032,0.07407407407407407,2,52,325,25,2,25,52,404,27
Nearest Neighbors,24a22bf,0.9331683168316832,0.0,0.0,0.0,0.4708222811671088,0.9045092838196287,0.0,0,0,377,27,0,27,0,404,27
Linear SVM,24a22bf,0.8613861386138614,0.06666666666666667,0.06060606060606061,0.07407407407407407,0.7216327733569112,0.8620689655172413,0.3333333333333333,2,31,346,25,2,25,31,404,27
RBF SVM,24a22bf,0.6113861386138614,0.21890547263681592,0.12643678160919541,0.8148148148148148,0.2598978288633461,0.9655172413793104,0.1111111111111111,22,152,225,5,22,5,152,404,27
Decision Tree,24a22bf,0.9034653465346535,0.04878048780487805,0.07142857142857142,0.037037037037037035,0.5012771392081736,0.9045092838196287,0.037037037037037035,1,13,364,26,1,26,13,404,27
Random Forest,24a22bf,0.9331683168316832,0.0,0.0,0.0,0.5772669220945084,0.8355437665782494,0.037037037037037035,0,0,377,27,0,27,0,404,27
AdaBoost,24a22bf,0.9331683168316832,0.0,0.0,0.0,0.3020925434718538,0.9522546419098143,0.037037037037037035,0,0,377,27,0,27,0,404,27
Naive Bayes,24a22bf,0.7227722772277227,0.06666666666666667,0.043010752688172046,0.14814814814814814,0.2709008743491502,0.9893899204244032,0.037037037037037035,4,89,288,23,4,23,89,404,27
Linear Classifier (Logistic Regression),6ca8355,0.672544080604534,0.1095890410958904,0.08602150537634409,0.1509433962264151,0.35448661693725314,0.9563953488372093,0.07547169811320754,8,85,259,45,8,45,85,397,53
Nearest Neighbors,6ca8355,0.8664987405541562,0.0,0.0,0.0,0.49994515138218515,0.8255813953488372,0.16981132075471697,0,0,344,53,0,53,0,397,53
Linear SVM,6ca8355,0.6473551637279596,0.14634146341463414,0.10810810810810811,0.22641509433962265,0.4464677490127249,0.9505813953488372,0.07547169811320754,12,99,245,41,12,41,99,397,53
RBF SVM,6ca8355,0.7103274559193955,0.12213740458015267,0.10256410256410256,0.1509433962264151,0.5958205353225099,0.872093023255814,0.22641509433962265,8,70,274,45,8,45,70,397,53
