model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear SVM,24a22bf,0.6163366336633663,0.3514644351464435,0.22105263157894736,0.8571428571428571,0.7843345789019833,0.5802816901408451,0.32653061224489793,42,148,207,7,42,7,148,404,49
RBF SVM,24a22bf,0.6188118811881188,0.35294117647058826,0.2222222222222222,0.8571428571428571,0.769272779534349,0.6281690140845071,0.2653061224489796,42,147,208,7,42,7,147,404,49
Decision Tree,24a22bf,0.7376237623762376,0.38372093023255816,0.2682926829268293,0.673469387755102,0.6874389192296637,0.8394366197183099,0.32653061224489793,33,90,265,16,33,16,90,404,49
Random Forest,24a22bf,0.8613861386138614,0.0,0.0,0.0,0.7125610807703362,0.7126760563380282,0.24489795918367346,0,7,348,49,0,49,7,404,49
AdaBoost,24a22bf,0.7673267326732673,0.27692307692307694,0.2222222222222222,0.3673469387755102,0.6506467375682667,0.8112676056338028,0.20408163265306123,18,63,292,31,18,31,63,404,49
Naive Bayes,24a22bf,0.650990099009901,0.3561643835616438,0.22941176470588234,0.7959183673469388,0.7569129060074734,0.6056338028169014,0.30612244897959184,39,131,224,10,39,10,131,404,49
Linear Classifier (Logistic Regression),ed86ea2,0.8431372549019608,0.36,0.32142857142857145,0.4090909090909091,0.639985014985015,0.9505494505494505,0.4090909090909091,9,19,163,13,9,13,19,204,22
Nearest Neighbors,ed86ea2,0.8823529411764706,0.14285714285714285,0.3333333333333333,0.09090909090909091,0.7534965034965034,0.9615384615384616,0.5,2,4,178,20,2,20,4,204,22
Linear SVM,ed86ea2,0.8382352941176471,0.32653061224489793,0.2962962962962963,0.36363636363636365,0.5495754245754245,0.9230769230769231,0.3181818181818182,8,19,163,14,8,14,19,204,22
RBF SVM,ed86ea2,0.7303921568627451,0.3956043956043956,0.2608695652173913,0.8181818181818182,0.8302947052947054,0.29120879120879123,0.36363636363636365,18,51,131,4,18,4,51,204,22
Decision Tree,ed86ea2,0.8823529411764706,0.07692307692307693,0.25,0.045454545454545456,0.22115384615384615,0.9285714285714286,0.045454545454545456,1,3,179,21,1,21,3,204,22
Random Forest,ed86ea2,0.8921568627450981,0.0,0.0,0.0,0.7748501498501499,0.8461538461538461,0.5,0,0,182,22,0,22,0,204,22
AdaBoost,ed86ea2,0.8627450980392157,0.06666666666666667,0.125,0.045454545454545456,0.2612387612387612,0.9615384615384616,0.09090909090909091,1,7,175,21,1,21,7,204,22
Naive Bayes,ed86ea2,0.8529411764705882,0.2857142857142857,0.3,0.2727272727272727,0.4736513486513486,0.9615384615384616,0.36363636363636365,6,14,168,16,6,16,14,204,22
Linear Classifier (Logistic Regression),63598f8,0.53125,0.4966442953020134,0.37373737373737376,0.74,0.604909090909091,0.7636363636363637,0.18,37,62,48,13,37,13,62,160,50
Nearest Neighbors,63598f8,0.65,0.034482758620689655,0.125,0.02,0.4702727272727273,0.8363636363636363,0.08,1,7,103,49,1,49,7,160,50
Linear SVM,63598f8,0.48125,0.5088757396449705,0.36134453781512604,0.86,0.6363636363636364,0.7636363636363637,0.2,43,76,34,7,43,7,76,160,50
RBF SVM,63598f8,0.45,0.5111111111111111,0.35384615384615387,0.92,0.6516363636363637,0.6909090909090909,0.24,46,84,26,4,46,4,84,160,50
Decision Tree,63598f8,0.6375,0.19444444444444445,0.3181818181818182,0.14,0.4982727272727273,0.8,0.04,7,15,95,43,7,43,15,160,50
Random Forest,63598f8,0.6875,0.0,0.0,0.0,0.5575454545454546,0.6363636363636364,0.02,0,0,110,50,0,50,0,160,50
AdaBoost,63598f8,0.6875,0.0,0.0,0.0,0.4170909090909091,0.8636363636363636,0.1,0,0,110,50,0,50,0,160,50
Naive Bayes,63598f8,0.6,0.47540983606557374,0.4027777777777778,0.58,0.6309090909090909,0.7636363636363637,0.24,29,43,67,21,29,21,43,160,50
Linear Classifier (Logistic Regression),6ca8355,0.5642317380352645,0.1477832512315271,0.08379888268156424,0.625,0.6201966041108132,0.8016085790884718,0.125,15,164,209,9,15,9,164,397,24
Nearest Neighbors,6ca8355,0.8740554156171285,0.038461538461538464,0.03571428571428571,0.041666666666666664,0.5459115281501341,0.9517426273458445,0.08333333333333333,1,27,346,23,1,23,27,397,24
Linear SVM,6ca8355,0.49622166246851385,0.15254237288135594,0.08490566037735849,0.75,0.6330428954423593,0.8605898123324397,0.16666666666666666,18,194,179,6,18,6,194,397,24
RBF SVM,6ca8355,0.49370277078085645,0.1589958158995816,0.08837209302325581,0.7916666666666666,0.6707998212689902,0.8284182305630027,0.25,19,196,177,5,19,5,196,397,24
Decision Tree,6ca8355,0.7380352644836272,0.07142857142857142,0.045454545454545456,0.16666666666666666,0.4409629133154602,0.8552278820375335,0.041666666666666664,4,84,289,20,4,20,84,397,24
Random Forest,6ca8355,0.9395465994962217,0.0,0.0,0.0,0.5512176050044683,0.7774798927613941,0.041666666666666664,0,0,373,24,0,24,0,397,24
AdaBoost,6ca8355,0.8085642317380353,0.02564102564102564,0.018518518518518517,0.041666666666666664,0.3976206434316354,0.8981233243967829,0.041666666666666664,1,53,320,23,1,23,53,397,24
Naive Bayes,6ca8355,0.6952141057934509,0.17687074829931973,0.10569105691056911,0.5416666666666666,0.6864946380697051,0.675603217158177,0.25,13,110,263,11,13,11,110,397,24
Linear Classifier (Logistic Regression),9ab8252,0.7419354838709677,0.14754098360655737,0.2,0.11688311688311688,0.5239423153533582,0.9171779141104295,0.11688311688311688,9,36,290,68,9,68,36,403,77
Nearest Neighbors,9ab8252,0.8089330024813896,0.0,0.0,0.0,0.46651661222213364,0.941717791411043,0.03896103896103896,0,0,326,77,0,77,0,403,77
Linear SVM,9ab8252,0.6153846153846154,0.27230046948356806,0.21323529411764705,0.37662337662337664,0.4539877300613497,0.9294478527607362,0.07792207792207792,29,107,219,48,29,48,107,403,77
RBF SVM,9ab8252,0.8089330024813896,0.0,0.0,0.0,0.5015934985260139,0.941717791411043,0.07792207792207792,0,0,326,77,0,77,0,403,77
Decision Tree,9ab8252,0.6228287841191067,0.2962962962962963,0.2302158273381295,0.4155844155844156,0.5658513265875229,0.8619631901840491,0.14285714285714285,32,107,219,45,32,45,107,403,77
Random Forest,9ab8252,0.8089330024813896,0.0,0.0,0.0,0.5414110429447853,0.8343558282208589,0.07792207792207792,0,0,326,77,0,77,0,403,77
AdaBoost,9ab8252,0.7990074441687345,0.0,0.0,0.0,0.5383037208190582,0.803680981595092,0.12987012987012986,0,4,322,77,0,77,4,403,77
Naive Bayes,9ab8252,0.6972704714640199,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.5300374472153613,0.8282208588957055,0.07792207792207792,16,61,265,61,16,61,61,403,77
Linear Classifier (Logistic Regression),da6d469,0.9526184538653366,0.0,0.0,0.0,0.5483076263924593,0.9048843187660668,0.16666666666666666,0,7,382,12,0,12,7,401,12
Nearest Neighbors,da6d469,0.8678304239401496,0.13114754098360656,0.08163265306122448,0.3333333333333333,0.6113967437874893,0.712082262210797,0.25,4,45,344,8,4,8,45,401,12
Linear SVM,da6d469,0.6907730673316709,0.08823529411764706,0.04838709677419355,0.5,0.5528063410454157,0.8560411311053985,0.0,6,118,271,6,6,6,118,401,12
RBF SVM,da6d469,0.6957605985037406,0.08955223880597014,0.04918032786885246,0.5,0.5517352185089974,0.910025706940874,0.0,6,116,273,6,6,6,116,401,12
Decision Tree,da6d469,0.773067331670823,0.021505376344086023,0.012345679012345678,0.08333333333333333,0.4389460154241645,0.6735218508997429,0.0,1,80,309,11,1,11,80,401,12
Random Forest,da6d469,0.970074812967581,0.0,0.0,0.0,0.5734790059982862,0.9074550128534704,0.16666666666666666,0,0,389,12,0,12,0,401,12
AdaBoost,da6d469,0.8329177057356608,0.10666666666666667,0.06349206349206349,0.3333333333333333,0.44098114824335904,0.8766066838046273,0.25,4,59,330,8,4,8,59,401,12
Naive Bayes,da6d469,0.9451371571072319,0.0,0.0,0.0,0.29916452442159386,0.9434447300771208,0.0,0,10,379,12,0,12,10,401,12
Linear Classifier (Logistic Regression),7f6d63d,0.369727047146402,0.37438423645320196,0.24050632911392406,0.8444444444444444,0.5111643592474263,0.8402555910543131,0.15555555555555556,76,240,73,14,76,14,240,403,90
Nearest Neighbors,7f6d63d,0.7245657568238213,0.034782608695652174,0.08,0.022222222222222223,0.5200212992545261,0.9424920127795527,0.044444444444444446,2,23,290,88,2,88,23,403,90
